Branch,Asset Name,Resource Category,Resource Type,Amount,Unit,Total Greenhouse Gases (t CO2-e),Billing Start date,Billing End Date,CoM or Supply Chain,Peak amount,Off-peak amount
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,32549.99,kWh,42965.9868,07/01/2013 12:00:00 AM,07/31/2013 12:00:00 AM,CoM,24750,7799.99
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,32762.63,kWh,43246.6716,08/01/2013 12:00:00 AM,08/31/2013 12:00:00 AM,CoM,21268.19,11494.44
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,16192.52,kWh,21374.1264,09/01/2013 12:00:00 AM,09/30/2013 12:00:00 AM,CoM,10214.57,5977.95
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,6874.07,kWh,9073.7724,10/01/2013 12:00:00 AM,10/31/2013 12:00:00 AM,CoM,1033.57,5840.5
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,16918.29,kWh,22332.1428,11/01/2013 12:00:00 AM,11/30/2013 12:00:00 AM,CoM,10019.08,6899.21
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,7470.88,kWh,9861.5616,12/01/2013 12:00:00 AM,12/17/2013 12:00:00 AM,CoM,4746.15,2724.73
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,6416.76,kWh,8470.1232,12/18/2013 12:00:00 AM,01/31/2014 12:00:00 AM,CoM,1078.23,5338.53
Arts and Culture,Arts Centre - Meat Market,Electricity,Electricity,12250.7,kWh,16170.924,02/01/2014 12:00:00 AM,02/28/2014 12:00:00 AM,CoM,7557.1,4693.6
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,17181.96,kWh,22680.1872,07/01/2013 12:00:00 AM,07/31/2013 12:00:00 AM,CoM,11105.05,6076.91
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,16997.21,kWh,22436.3172,08/01/2013 12:00:00 AM,08/31/2013 12:00:00 AM,CoM,10965.75,6031.46
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,16383.17,kWh,21625.7844,09/01/2013 12:00:00 AM,09/30/2013 12:00:00 AM,CoM,9776,6607.17
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,15369.67,kWh,20287.9644,10/01/2013 12:00:00 AM,10/31/2013 12:00:00 AM,CoM,9479.71,5889.96
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,12214.64,kWh,16123.3248,11/01/2013 12:00:00 AM,11/30/2013 12:00:00 AM,CoM,7774.45,4440.19
Arts and Culture,Arts Centre - Nth Melb Town Hall,Electricity,Electricity,7.68,kWh,10.1410909091,06/29/2013 12:00:00 AM,09/24/2013 12:00:00 AM,CoM,7.68,0
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,2030,kWh,2679.6,11/09/2013 12:00:00 AM,12/05/2013 12:00:00 AM,CoM,1080,950
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,2570,kWh,3392.4,07/11/2013 12:00:00 AM,08/08/2013 12:00:00 AM,CoM,1320,1250
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,2910,kWh,3841.2,08/09/2013 12:00:00 AM,09/10/2013 12:00:00 AM,CoM,1680,1230
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,2090,kWh,2758.8,09/11/2013 12:00:00 AM,10/08/2013 12:00:00 AM,CoM,1200,890
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,3090,kWh,4119.2896551724,06/12/2013 12:00:00 AM,07/10/2013 12:00:00 AM,CoM,1870,1220
Arts and Culture,Arts Centre - Signal Box,Electricity,Electricity,2410,kWh,3181.2,10/09/2013 12:00:00 AM,11/08/2013 12:00:00 AM,CoM,1290,1120
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,2312.98,kWh,3053.1336,10/25/2013 12:00:00 AM,11/24/2013 12:00:00 AM,CoM,1210.14,1102.84
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,2684.2,kWh,3551.0971851852,06/27/2013 12:00:00 AM,07/23/2013 12:00:00 AM,CoM,1546.2,1138
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,2512.66,kWh,3316.7112,08/26/2013 12:00:00 AM,09/23/2013 12:00:00 AM,CoM,1467.68,1044.98
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,3359.8,kWh,4434.936,07/24/2013 12:00:00 AM,08/25/2013 12:00:00 AM,CoM,1884.3,1475.5
Arts and Culture,Child Activity Centre - Art Play,Electricity,Electricity,2335.7,kWh,3083.124,09/24/2013 12:00:00 AM,10/24/2013 12:00:00 AM,CoM,1311.1,1024.6
